id,title,context,question,answers
573257950fdd8d15006c69ee,Financial_crisis_of_2007%E2%80%9308,"It threatened the collapse of large financial institutions, which was prevented by the bailout of banks by national governments, but stock markets still dropped worldwide. In many areas, the housing market also suffered, resulting in evictions, foreclosures and prolonged unemployment. The crisis played a significant role in the failure of key businesses, declines in consumer wealth estimated in trillions of U.S. dollars, and a downturn in economic activity leading to the 2008–2012 global recession and contributing to the European sovereign-debt crisis. The active phase of the crisis, which manifested as a liquidity crisis, can be dated from August 9, 2007, when BNP Paribas terminated withdrawals from three hedge funds citing ""a complete evaporation of liquidity"".",What year did the global recession that followed the financial crisis of 2007 end?,"{'text': ['2012'], 'answer_start': [481]}"
5706b11d0eeca41400aa0d36,House_music,"But house was also being developed on Ibiza,[citation needed] although no house artists or labels were coming from this tiny island at the time. By the mid-1980s a distinct Balearic mix of house was discernible.[citation needed] Several clubs such as Amnesia with DJ Alfredo were playing a mix of rock, pop, disco and house. These clubs, fueled by their distinctive sound and Ecstasy, began to have an influence on the British scene. By late 1987, DJs such as Trevor Fung, Paul Oakenfold and Danny Rampling were bringing the Ibiza sound to UK clubs such as the Haçienda in Manchester, and in London clubs such as Shoom in Southwark, Heaven, Future and Spectrum.",what was a popular club in ibiza that started playing dance and house music?,"{'text': ['Amnesia'], 'answer_start': [251]}"
5ad17e8d645df0001a2d1e38,Mary_(mother_of_Jesus),"Although Calvin and Huldrych Zwingli honored Mary as the Mother of God in the 16th century, they did so less than Martin Luther. Thus the idea of respect and high honor for Mary was not rejected by the first Protestants; but, they came to criticize the Roman Catholics for venerating Mary. Following the Council of Trent in the 16th century, as Marian veneration became associated with Catholics, Protestant interest in Mary decreased. During the Age of the Enlightenment any residual interest in Mary within Protestant churches almost disappeared, although Anglicans and Lutherans continued to honor her.",In what century did Martin Luther honor Mary as the Mother of God?,"{'text': [], 'answer_start': []}"
5709667eed30961900e840a1,Himachal_Pradesh,"Due to extreme variation in elevation, great variation occurs in the climatic conditions of Himachal . The climate varies from hot and subhumid tropical in the southern tracts to, with more elevation, cold, alpine, and glacial in the northern and eastern mountain ranges. The state has areas like Dharamsala that receive very heavy rainfall, as well as those like Lahaul and Spiti that are cold and almost rainless. Broadly, Himachal experiences three seasons: summer, winter, and rainy season. Summer lasts from mid-April till the end of June and most parts become very hot (except in the alpine zone which experiences a mild summer) with the average temperature ranging from 28 to 32 °C (82 to 90 °F). Winter lasts from late November till mid March. Snowfall is common in alpine tracts (generally above 2,200 metres (7,218 ft) i.e. in the higher and trans-Himalayan region).",What is the climate like?,"{'text': ['varies from hot and subhumid tropical'], 'answer_start': [115]}"
5ad378fa604f3c001a3fe3a1,Elizabeth_II,"The Queen addressed the United Nations for a second time in 2010, again in her capacity as Queen of all Commonwealth realms and Head of the Commonwealth. The UN Secretary General, Ban Ki-moon, introduced her as ""an anchor for our age"". During her visit to New York, which followed a tour of Canada, she officially opened a memorial garden for the British victims of the September 11 attacks. The Queen's visit to Australia in October 2011 – her sixteenth visit since 1954 – was called her ""farewell tour"" in the press because of her age.",How many times has the Queen toured Canada?,"{'text': [], 'answer_start': []}"
57294e7a6aef051400154c93,Bermuda,"The Constitution of Bermuda came into force on 1 June 1967; it was amended in 1989 and 2003. The head of government is the premier. A cabinet is nominated by the premier and appointed officially by the governor. The legislative branch consists of a bicameral parliament modelled on the Westminster system. The Senate is the upper house, consisting of 11 members appointed by the governor on the advice of the premier and the leader of the opposition. The House of Assembly, or lower house, has 36 members, elected by the eligible voting populace in secret ballot to represent geographically defined constituencies.",Has Bermuda's constitution ever been amended?,"{'text': ['it was amended in 1989 and 2003'], 'answer_start': [60]}"
5acda5f107355d001abf48c0,Florida,"Florida is served by Amtrak, operating numerous lines throughout, connecting the state's largest cities to points north in the United States and Canada. The busiest Amtrak train stations in Florida in 2011 were: Sanford (259,944), Orlando (179,142), Tampa Union Station (140,785), Miami (94,556), and Jacksonville (74,733). Sanford, in Greater Orlando, is the southern terminus of the Auto Train, which originates at Lorton, Virginia, south of Washington, D.C.. Until 2005, Orlando was also the eastern terminus of the Sunset Limited, which travels across the southern United States via New Orleans, Houston, and San Antonio to its western terminus of Los Angeles. Florida is served by two additional Amtrak trains (the Silver Star and the Silver Meteor), which operate between New York City and Miami. Miami Central Station, the city's rapid transit, commuter rail, intercity rail, and bus hub, is under construction.",What train line connects florida to the south? ,"{'text': [], 'answer_start': []}"
56de818dcffd8e1900b4b99c,BBC_Television,"Programmes, such as the politically fuelled Give My Head Peace (produced by BBC Northern Ireland) and the soap opera River City (produced by BBC Scotland), have been created specifically to cater for some viewers in their respective nations, who may have found programmes created for English audiences irrelevant. BBC Scotland produces daily programmes for its Gaelic-speaking viewers, including current affairs, political and children's programming such as the popular Eòrpa and Dè a-nis?. BBC Wales also produces a large amount of Welsh language programming for S4C, particularly news, sport and other programmes, especially the soap opera Pobol y Cwm ('People of the Valley'). The UK nations also produce a number of programmes that are shown across the UK, such as BBC Scotland's comedy series Chewin' the Fat, and BBC Northern Ireland's talk show Patrick Kielty Almost Live.",What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,"{'text': ['Patrick Kielty Almost Live'], 'answer_start': [852]}"
5ad3c964604f3c001a3ff096,Alfred_North_Whitehead,"The two volume biography of Whitehead by Victor Lowe is the most definitive presentation of the life of Whitehead. However, many details of Whitehead's life remain obscure because he left no Nachlass; his family carried out his instructions that all of his papers be destroyed after his death. Additionally, Whitehead was known for his ""almost fanatical belief in the right to privacy"", and for writing very few personal letters of the kind that would help to gain insight on his life. This led to Lowe himself remarking on the first page of Whitehead's biography, ""No professional biographer in his right mind would touch him.""", Why was every Nachlass left behind after Whitehead's death?,"{'text': [], 'answer_start': []}"
5a7112630efcfe001a8afd20,Pesticide,"Pesticide use raises a number of environmental concerns. Over 98% of sprayed insecticides and 95% of herbicides reach a destination other than their target species, including non-target species, air, water and soil. Pesticide drift occurs when pesticides suspended in the air as particles are carried by wind to other areas, potentially contaminating them. Pesticides are one of the causes of water pollution, and some pesticides are persistent organic pollutants and contribute to soil contamination.",What concerns are raised when thinking about animals digging in the soil for food?,"{'text': [], 'answer_start': []}"
5acfa8be77cf76001a685778,Namibia,"Namibia extends from 17°S to 25°S: climatically the range of the sub-Tropical High Pressure Belt, arid is the overall climate description descending from the Sub-Humid (mean rain above 500 mm) through Semi-Arid between 300 and 500 mm (embracing most of the waterless Kalahari) and Arid from 150 to 300 mm (these three regions are inland from the western escarpment) to the Hyper-Arid coastal plain with less than a 100 mm mean. Temperature maxima are limited by the overall elevation of the entire region: only in the far south, Warmbad for instance, are mid-40 °C maxima recorded.",What is the climate description for the southern half of Namibia?,"{'text': [], 'answer_start': []}"
56d11a1b17492d1400aab95d,The_Legend_of_Zelda:_Twilight_Princess,"The GameCube and Wii versions feature several minor differences in their controls. The Wii version of the game makes use of the motion sensors and built-in speaker of the Wii Remote. The speaker emits the sounds of a bowstring when shooting an arrow, Midna's laugh when she gives advice to Link, and the series' trademark ""chime"" when discovering secrets. The player controls Link's sword by swinging the Wii Remote. Other attacks are triggered using similar gestures with the Nunchuk. Unique to the GameCube version is the ability for the player to control the camera freely, without entering a special ""lookaround"" mode required by the Wii; however, in the GameCube version, only two of Link's secondary weapons can be equipped at a time, as opposed to four in the Wii version.[g]",The Wii version makes use of what kind of sensors?,"{'text': ['motion'], 'answer_start': [128]}"
572fe288b2c2fd140056855e,Premier_League,"The first Sky television rights agreement was worth £304 million over five seasons. The next contract, negotiated to start from the 1997–98 season, rose to £670 million over four seasons. The third contract was a £1.024 billion deal with BSkyB for the three seasons from 2001–02 to 2003–04. The league brought in £320 million from the sale of its international rights for the three-year period from 2004–05 to 2006–07. It sold the rights itself on a territory-by-territory basis. Sky's monopoly was broken from August 2006 when Setanta Sports was awarded rights to show two out of the six packages of matches available. This occurred following an insistence by the European Commission that exclusive rights should not be sold to one television company. Sky and Setanta paid a total of £1.7 billion, a two-thirds increase which took many commentators by surprise as it had been widely assumed that the value of the rights had levelled off following many years of rapid growth. Setanta also hold rights to a live 3 pm match solely for Irish viewers. The BBC has retained the rights to show highlights for the same three seasons (on Match of the Day) for £171.6 million, a 63 per cent increase on the £105 million it paid for the previous three-year period. Sky and BT have agreed to jointly pay £84.3 million for delayed television rights to 242 games (that is the right to broadcast them in full on television and over the internet) in most cases for a period of 50 hours after 10 pm on matchday. Overseas television rights fetched £625 million, nearly double the previous contract. The total raised from these deals is more than £2.7 billion, giving Premier League clubs an average media income from league games of around £40 million-a-year from 2007 to 2010.",How much many did the Premier League make from selling its internation rights during 2004-07?,"{'text': ['The league brought in £320 million from the sale of its international rights for the three-year period from 2004–05 to 2006–07'], 'answer_start': [291]}"
56f75e62aef2371900625b69,Treaty,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",What are started to be a source of international law in the preamble in The Law of Treaties?,"{'text': ['treaties'], 'answer_start': [50]}"
5725c74589a1e219009abe8f,Montevideo,"Tourism accounts for much of Uruguay's economy. Tourism in Montevideo is centered in the Ciudad Vieja area, which includes the city's oldest buildings, several museums, art galleries, and nightclubs, with Sarandí Street and the Mercado del Puerto being the most frequented venues of the old city. On the edge of Ciudad Vieja, Plaza Independencia is surrounded by many sights, including the Solís Theatre and the Palacio Salvo; the plaza also constitutes one end of 18 de Julio Avenue, the city's most important tourist destination outside of Ciudad Vieja. Apart from being a shopping street, the avenue is noted for its Art Deco buildings, three important public squares, the Gaucho Museum, the Palacio Municipal and many other sights. The avenue leads to the Obelisk of Montevideo; beyond that is Parque Batlle, which along with the Parque Prado is another important tourist destination. Along the coast, the Fortaleza del Cerro, the Rambla (the coastal avenue), 13 kilometres (8.1 mi) of sandy beaches, and Punta Gorda attract many tourists, as do the Barrio Sur and Palermo barrios.",Where is tourism in Montevideo centered in?,"{'text': ['Ciudad Vieja area'], 'answer_start': [89]}"
